,avgDifficulty,avgRating,department,firstName,id,lastName,legacyId,numRatings,wouldTakeAgainPercent,schoolId,schoolName
0,3.3,4.5,Law,Federico,VGVhY2hlci04MjQzODM=,Varese,824383,6,100.0,U2Nob29sLTEyNTAy,Oxford University
1,0.0,0.0,Education,Chris,VGVhY2hlci04MjY1ODk=,Davies,826589,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
2,4.3,4.0,Geography,Barbara,VGVhY2hlci04MzI0Mjk=,Kennedy,832429,3,100.0,U2Nob29sLTEyNTAy,Oxford University
3,2.5,4.5,Mathematics,David,VGVhY2hlci04NTUxMjU=,Stirzaker,855125,2,-1.0,U2Nob29sLTEyNTAy,Oxford University
4,4.0,3.8,Physics,Julia,VGVhY2hlci04NTc2ODU=,Yeomans,857685,4,100.0,U2Nob29sLTEyNTAy,Oxford University
5,4.4,2.8,Engineering,Basil,VGVhY2hlci04NjcxNTM=,Kouvaritakis,867153,17,-1.0,U2Nob29sLTEyNTAy,Oxford University
6,5.0,1.0,Physics,Jonathon,VGVhY2hlci04ODk3MzE=,Hodby,889731,1,-1.0,U2Nob29sLTEyNTAy,Oxford University
7,3.0,4.3,Mathematics,Jonathan,VGVhY2hlci05MTE0MzQ=,Marchini,911434,2,-1.0,U2Nob29sLTEyNTAy,Oxford University
8,0.0,0.0,Economics,Nick,VGVhY2hlci05NDcyMjI=,Horsewook,947222,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
9,0.0,0.0,Women,L. Alexandra,VGVhY2hlci05NjM1NjI=,Harris,963562,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
10,0.0,0.0,English,Sally,VGVhY2hlci05NjgzOTg=,Mapstone,968398,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
11,4.5,3.5,Mathematics,Gesin,VGVhY2hlci05NzE1Mzg=,Reinert,971538,2,-1.0,U2Nob29sLTEyNTAy,Oxford University
12,5.0,5.0,Engineering,Yasin,VGVhY2hlci05ODI4NzY=,Bostanci,982876,1,-1.0,U2Nob29sLTEyNTAy,Oxford University
13,3.5,2.5,Political Science,David,VGVhY2hlci05OTQzMzI=,Merrill,994332,2,-1.0,U2Nob29sLTEyNTAy,Oxford University
14,0.0,0.0,Biology,Oliver,VGVhY2hlci0xMDAwMzQy,Pybus,1000342,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
15,3.7,4.2,Biology,Graham,VGVhY2hlci0xMDAwMzQz,Taylor,1000343,3,-1.0,U2Nob29sLTEyNTAy,Oxford University
16,0.0,0.0,Psychology,Christopher,VGVhY2hlci0xMDA4MDM3,Green,1008037,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
17,0.0,0.0,Biology,Robin,VGVhY2hlci0xMDA5ODky,McCleery,1009892,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
18,0.0,0.0,Business,Steve,VGVhY2hlci0xMDM5NDE5,New,1039419,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
19,5.0,2.7,Archaeology,Rick,VGVhY2hlci0xMDQwNzE2,Schulting,1040716,3,50.0,U2Nob29sLTEyNTAy,Oxford University
20,0.0,0.0,Economics,Adrian,VGVhY2hlci0xMDU3NTM3,Wood,1057537,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
21,4.4,4.0,English,Ralph,VGVhY2hlci0xMDkzMTIy,Hanna,1093122,8,100.0,U2Nob29sLTEyNTAy,Oxford University
22,0.0,0.0,Law,Jansen,VGVhY2hlci0xMTA0NDU0,Calamita,1104454,0,-1.0,U2Nob29sLTEyNTAy,Oxford University
